t,value
1645691280,-1
1645691310,-1
1645691340,-1
1645691370,-1
1645691400,-1
1645691430,-1
1645691460,-1
1645691490,-1
1645691520,-1
1645691550,-1
1645691580,-1
1645691610,-1
1645691640,-1
1645691670,-1
1645691700,-1
1645691730,-1
1645691760,-1
1645691790,-1
1645691820,-1
1645691850,-1
1645691880,-1
1645691910,-1
1645691940,-1
1645691970,-1
1645692000,-1
1645692030,-1
1645799460,-1
1645799490,-1
1645799520,-1
1645799550,-1
1645799580,-1
1645799610,-1
1645799640,-1
1645799670,-1
1645799700,-1
1645799730,-1
1645799760,-1
1645799790,-1
1645799820,-1
1645799850,-1
1645799880,-1
1645799910,-1
1645799940,-1
1645799970,-1
1645800000,-1
1645800030,-1
1645800060,-1
1645800090,-1
1645800120,-1
1645800150,-1
1645800180,-1
1645800210,-1
1645800240,-1
1645800270,-1
1645800300,-1
1645800330,-1
1645800360,-1
1645800390,-1
1645800420,-1
1645800450,-1
1645800480,-1
1645800510,-1
1645800540,-1
1645800570,-1
1645800600,-1
1645800630,-1
1645800661,-1
1645800691,-1
1645800721,-1
1645800751,-1
1645800781,-1
1645800811,-1
1645800841,-1
1645800871,-1
1645800901,-1
1645800931,-1
1645801355,-1
1645801385,-1
1645801415,-1
1645801445,-1
1645801475,-1
1645801505,-1
1645801535,-1
1645801565,-1
1645801595,-1
1645801625,-1
1645801655,-1
1645801685,-1
1645801715,-1
1645801745,-1
1645801775,-1
1645801805,-1
1645801835,-1
1645801865,-1
1645801895,-1
1645801925,-1
1645801955,-1
1645801985,-1
1645802015,-1
1645802045,-1
1645802075,-1
1645802105,-1
1645802135,-1
1645802165,-1
1645802195,-1
1645802225,-1
1645802255,-1
1645802286,-1
1645802316,-1
1645802346,-1
1645802376,-1
1645802406,-1
1645802436,-1
1645802466,-1
1645802496,-1
1645802526,-1
1645802556,-1
1645802586,-1
1645802616,-1
1645802646,-1
1645802676,-1
1645802706,-1
1645802736,-1
1645802766,-1
1645802796,-1
1645802826,-1
1645802856,-1
1645802886,-1
1645802916,-1
1645802946,-1
1645802976,-1
1645803006,-1
1645803036,-1
1645803066,-1
1645803096,-1
1645803126,-1
1645803156,-1
1645803186,-1
1645803216,-1
1645803246,-1
1645803276,-1
1645803306,-1
1645803336,-1
1645803366,-1
1645803396,-1
1645803426,-1
1645803456,-1
1645803486,-1
1645803516,-1
1645803546,-1
1645803576,-1
1645803606,-1
1645803636,-1
1645803666,-1
1645803696,-1
1645803726,-1
1645803756,-1
1645803786,-1
1645803816,-1
1645803846,-1
1645803876,-1
1645803906,-1
1645803936,-1
1645803966,-1
1645803996,-1
1645804026,-1
1645804056,-1
1645804086,-1
1645804116,-1
1645804146,-1
1645804176,-1
1645804206,-1
1645804236,-1
1645804266,-1
1645804296,-1
1645804326,-1
1645804356,-1
1645804386,-1
1645804918,-1
1645804948,-1
1645905630,-1
1645905660,-1
1645905690,-1
1645905720,-1
1645905750,-1
1645905780,-1
1645905810,-1
1645905840,-1
1645905870,-1
1645905900,-1
1645905930,-1
1645905960,-1
1645905990,-1
1645906020,-1
1645906050,-1
1645906080,-1
1645906110,-1
1645906140,-1
1645906170,-1
1645906200,-1
1645906230,-1
1645906260,-1
1645906290,-1
1645906320,-1
1645906350,-1
1645906380,-1
1645906410,-1
1645906440,-1
1645906470,-1
1645906500,-1
1645906530,-1
1645906560,-1
1645906590,-1
1645906620,-1
1645906651,-1
1645906681,-1
1645906711,-1
1645906741,-1
1645906771,-1
1645906801,-1
1645906831,-1
1645906861,-1
1645906891,-1
1645906921,-1
1645906951,-1
1645906981,-1
1645907011,-1
1645907041,-1
1645907071,-1
1645907101,-1
1645907131,-1
1645907161,-1
1645907191,-1
1645907221,-1
1645907251,-1
1645907281,-1
1645907311,-1
1645907341,-1
1645907371,-1
1645907401,-1
1645907431,-1
1645907461,-1
1645907491,-1
1645907521,-1
1645907551,-1
1645907581,-1
1645907611,-1
1645907641,-1
1645907671,-1
1645907701,-1
1645907731,-1
1645907761,-1
1645907791,-1
1645907821,-1
1645907851,-1
1645907881,-1
1645907911,-1
1645907941,-1
1645907971,-1
1645908001,-1
1645908031,-1
1645908061,-1
1645908091,-1
1645908121,-1
1645908151,-1
1645908181,-1
1645908211,-1
1645908241,-1
1645908271,-1
1645908301,-1
1645908331,-1
1645908361,-1
1645908391,-1
1645908421,-1
1645908451,-1
1645908481,-1
1645908511,-1
1645908541,-1
1645908571,-1
1645908601,-1
1645908631,-1
1645908661,-1
1645908691,-1
1645908721,-1
1645908751,-1
1645908781,-1
1645908811,-1
1645908841,-1
1645908871,-1
1645908901,-1
1645908931,-1
1645908961,-1
1645908991,-1
1645909021,-1
1645909051,-1
1645909081,-1
1645909111,-1
1645909141,-1
1645909171,-1
1645909201,-1
1645909231,-1
1645909261,-1
1645909291,-1
1645909321,-1
1645909351,-1
1645909381,-1
1645909411,-1
1645909441,-1
1645909471,-1
1645909501,-1
1645909531,-1
1645909561,-1
1645909591,-1
1645909621,-1
1645909651,-1
1645909681,-1
1645909711,-1
1645909741,-1
1645909771,-1
1645909801,-1
1645909831,-1
1645909861,-1
1645909892,-1
1645909922,-1
1645909952,-1
1645909982,-1
1645910012,-1
1645910042,-1
1645910072,-1
1645910102,-1
1645910132,-1
1645910162,-1
1645910192,-1
1645910222,-1
1645910252,-1
1645910282,-1
1645910312,-1
1645910342,-1
1645910372,-1
1645910402,-1
1645910432,-1
1645910462,-1
1645910492,-1
1645910522,-1
1645910552,-1
1645910582,-1
1645910612,-1
1645910642,-1
1645911020,-1
1645911050,-1
1645911080,-1
1645911110,-1
1645911140,-1
1645911170,-1
1645911200,-1
1645911230,-1
1645911260,-1
1645911290,-1
1645911320,-1
1645911350,-1
1645911380,-1
1645911410,-1
1645911440,-1
1645911470,-1
1645911500,-1
1645911530,-1
1645911560,-1
1645911590,-1
1645911620,-1
1645911650,-1
1645911680,-1
1645911710,-1
1645911740,-1
1645911770,-1
